,Entity,Code,Year,Share of waste recycled from total regional waste,unit
135,Oceania,,2015,6.195937,%
136,Oceania,,2016,6.360372,%
137,Oceania,,2017,6.5187745,%
138,Oceania,,2018,6.6881337,%
139,Oceania,,2019,6.8709826,%
140,Sub-Saharan Africa,,2000,3.0122259,%
141,Sub-Saharan Africa,,2001,3.1577353,%
142,Sub-Saharan Africa,,2002,3.3036993,%
143,Sub-Saharan Africa,,2003,3.4496167,%
144,Sub-Saharan Africa,,2004,3.5955374,%
145,Sub-Saharan Africa,,2005,3.739918,%
146,Sub-Saharan Africa,,2006,3.8841133,%
147,Sub-Saharan Africa,,2007,4.0282083,%
148,Sub-Saharan Africa,,2008,4.1703157,%
149,Sub-Saharan Africa,,2009,4.3130527,%
150,Sub-Saharan Africa,,2010,4.4576178,%
151,Sub-Saharan Africa,,2011,4.601472,%
152,Sub-Saharan Africa,,2012,4.742198,%
153,Sub-Saharan Africa,,2013,4.880434,%
154,Sub-Saharan Africa,,2014,5.020707,%
155,Sub-Saharan Africa,,2015,5.169435,%
156,Sub-Saharan Africa,,2016,5.3148503,%
157,Sub-Saharan Africa,,2017,5.4564695,%
158,Sub-Saharan Africa,,2018,5.595348,%
159,Sub-Saharan Africa,,2019,5.7193336,%
160,United States,USA,2000,2.3450744,%
161,United States,USA,2001,2.4553704,%
162,United States,USA,2002,2.5685005,%
163,United States,USA,2003,2.6816754,%
164,United States,USA,2004,2.797141,%
165,United States,USA,2005,2.9077706,%
166,United States,USA,2006,3.0194216,%
167,United States,USA,2007,3.1306255,%
168,United States,USA,2008,3.2331533,%
169,United States,USA,2009,3.3390622,%
170,United States,USA,2010,3.4539635,%
171,United States,USA,2011,3.571022,%
172,United States,USA,2012,3.6815886,%
173,United States,USA,2013,3.785189,%
174,United States,USA,2014,3.8899853,%
175,United States,USA,2015,4.0129786,%
176,United States,USA,2016,4.1291475,%
177,United States,USA,2017,4.245349,%
178,United States,USA,2018,4.3634415,%
179,United States,USA,2019,4.488883,%
180,World,OWID_WRL,2000,3.7033863,%
181,World,OWID_WRL,2001,3.985935,%
182,World,OWID_WRL,2002,4.2745633,%
183,World,OWID_WRL,2003,4.564884,%
184,World,OWID_WRL,2004,4.8600082,%
185,World,OWID_WRL,2005,5.150596,%
186,World,OWID_WRL,2006,5.4449744,%
187,World,OWID_WRL,2007,5.7405467,%
188,World,OWID_WRL,2008,6.0234685,%
189,World,OWID_WRL,2009,6.3141065,%
190,World,OWID_WRL,2010,6.6227803,%
191,World,OWID_WRL,2011,6.9352217,%
192,World,OWID_WRL,2012,7.2388344,%
193,World,OWID_WRL,2013,7.537689,%
194,World,OWID_WRL,2014,7.836343,%
195,World,OWID_WRL,2015,8.164696,%
196,World,OWID_WRL,2016,8.450203,%
197,World,OWID_WRL,2017,8.747166,%
198,World,OWID_WRL,2018,9.036769,%
199,World,OWID_WRL,2019,9.292344,%
